# Bản thảo nghĩa tiếng Việt ngắn dựa trên KANJIDIC2 (CC BY-SA 4.0).
# Chưa được duyệt ngôn ngữ; bổ sung/hiệu chỉnh trong curated_vi.json.
一	Một
七	Bảy
万	Mười nghìn; vạn
三	Ba
上	Trên; lên
下	Dưới; xuống
中	Trong; giữa; trung tâm
丸	Tròn; viên
九	Chín
二	Hai
五	Năm
交	Giao nhau; trao đổi
京	Kinh đô
人	Người
今	Bây giờ
休	Nghỉ ngơi
会	Gặp; hội họp
体	Cơ thể
何	Cái gì
作	Làm; tạo ra
元	Gốc; ban đầu
兄	Anh trai
先	Trước; đi trước
光	Ánh sáng
入	Vào
八	Tám
公	Công cộng; chính thức
六	Sáu
内	Bên trong
円	Tròn; đồng yên
冬	Mùa đông
出	Ra; xuất hiện
刀	Dao; kiếm
分	Phần; phút; hiểu
切	Cắt
前	Phía trước; trước đây
力	Sức lực
北	Phía bắc
十	Mười
千	Nghìn
午	Buổi trưa; chi Ngọ
半	Một nửa
南	Phía nam
原	Cánh đồng; nguyên gốc
友	Bạn bè
口	Miệng
古	Cũ; xưa
台	Bệ; đài; đơn vị đếm máy móc
右	Bên phải
合	Hợp; vừa; ghép
同	Giống nhau
名	Tên; danh tiếng
四	Bốn
回	Lần; quay
図	Hình vẽ; sơ đồ
国	Đất nước
園	Vườn; công viên
土	Đất
地	Đất; mặt đất
場	Nơi; địa điểm
声	Giọng nói; tiếng
売	Bán
夏	Mùa hè
夕	Chiều tối
外	Bên ngoài
多	Nhiều
夜	Ban đêm
大	Lớn
天	Trời
太	To; béo; dày
女	Phụ nữ
妹	Em gái
姉	Chị gái
子	Con; trẻ em
字	Chữ
学	Học; học thuật
室	Phòng
家	Nhà; gia đình; chuyên gia
寺	Chùa
小	Nhỏ
少	Ít
山	Núi
岩	Đá; vách đá
川	Sông
工	Công việc; chế tạo
左	Bên trái
市	Thành phố; chợ
帰	Trở về
年	Năm
広	Rộng
店	Cửa hàng
弓	Cây cung
引	Kéo; trích dẫn
弟	Em trai
弱	Yếu
強	Mạnh
当	Trúng; thích hợp
形	Hình dạng
後	Sau; phía sau
心	Tim; lòng; tâm trí
思	Nghĩ
戸	Cửa một cánh
手	Tay
才	Tài năng; tuổi
教	Dạy
数	Số; đếm
文	Văn; câu văn
新	Mới
方	Phương hướng; cách; người
日	Ngày; mặt trời
早	Sớm; nhanh
明	Sáng; rõ
星	Ngôi sao
