# id	character	name_vi	meaning_vi	stroke_count	variants
1	一	Nhất	Một	1	
2	丨	Cổn	Nét sổ	1	
3	丶	Chủ	Nét chấm	1	
4	丿	Phiệt	Nét phẩy	1	
5	乙	Ất	Thứ hai; nét móc	1	乚乛
6	亅	Quyết	Nét sổ móc	1	
7	二	Nhị	Hai	2	
8	亠	Đầu	Phần đầu	2	
9	人	Nhân	Người	2	亻𠆢
10	儿	Nhi	Chân người	2	
11	入	Nhập	Vào	2	
12	八	Bát	Tám	2	丷
13	冂	Quynh	Vùng bao quanh	2	
14	冖	Mịch	Che phủ	2	
15	冫	Băng	Băng giá	2	
16	几	Kỷ	Bàn nhỏ	2	
17	凵	Khảm	Hõm; vật chứa	2	
18	刀	Đao	Dao	2	刂
19	力	Lực	Sức lực	2	
20	勹	Bao	Bao bọc	2	
21	匕	Chủy	Thìa	2	
22	匚	Phương	Hộp vuông	2	
23	匸	Hệ	Che giấu	2	
24	十	Thập	Mười	2	
25	卜	Bốc	Bói	2	
26	卩	Tiết	Đốt; dấu ấn	2	㔾
27	厂	Hán	Vách đá	2	
28	厶	Tư	Riêng tư	2	
29	又	Hựu	Lại; bàn tay phải	2	
30	口	Khẩu	Miệng	3	
31	囗	Vi	Bao quanh	3	
32	土	Thổ	Đất	3	
33	士	Sĩ	Kẻ sĩ	3	
34	夂	Trĩ	Đi đến	3	
35	夊	Tuy	Đi chậm	3	
36	夕	Tịch	Chiều tối	3	
37	大	Đại	Lớn	3	
38	女	Nữ	Phụ nữ	3	
39	子	Tử	Con	3	
40	宀	Miên	Mái nhà	3	
41	寸	Thốn	Tấc	3	
42	小	Tiểu	Nhỏ	3	⺌⺍
43	尢	Uông	Què	3	尣
44	尸	Thi	Thân thể; thi thể	3	
45	屮	Triệt	Mầm cây	3	
46	山	Sơn	Núi	3	
47	巛	Xuyên	Sông	3	川
48	工	Công	Công việc	3	
49	己	Kỷ	Bản thân	3	已巳
50	巾	Cân	Khăn	3	
51	干	Can	Cái khiên	3	
52	幺	Yêu	Nhỏ; sợi tơ nhỏ	3	
53	广	Nghiễm	Mái nhà rộng	3	
54	廴	Dẫn	Bước dài	3	
55	廾	Củng	Hai tay nâng	3	
56	弋	Dặc	Bắn bằng tên có dây	3	
57	弓	Cung	Cây cung	3	
58	彐	Kệ	Đầu heo	3	彑
59	彡	Sam	Lông; nét trang trí	3	
60	彳	Xích	Bước chân ngắn	3	
61	心	Tâm	Tim; lòng	4	忄㣺
62	戈	Qua	Giáo mác	4	
63	戶	Hộ	Cửa một cánh	4	戸户
64	手	Thủ	Tay	4	扌龵
65	支	Chi	Cành; chống đỡ	4	
66	攴	Phộc	Đánh nhẹ	4	攵
67	文	Văn	Văn chương	4	
68	斗	Đẩu	Cái đấu đong	4	
69	斤	Cân	Rìu; đơn vị cân	4	
70	方	Phương	Vuông; phương hướng	4	
71	无	Vô	Không	4	旡
72	日	Nhật	Mặt trời; ngày	4	
73	曰	Viết	Nói rằng	4	
74	月	Nguyệt	Mặt trăng; tháng	4	
75	木	Mộc	Cây; gỗ	4	
76	欠	Khiếm	Thiếu; ngáp	4	
77	止	Chỉ	Dừng	4	
78	歹	Đãi	Chết; xấu	4	歺
79	殳	Thù	Binh khí dài	4	
80	毋	Vô	Chớ; đừng	4	母
81	比	Tỷ	So sánh	4	
82	毛	Mao	Lông	4	
83	氏	Thị	Họ	4	
84	气	Khí	Hơi	4	
